fact_id,order_date,user_id,product_id,quantity,unit_price,total_revenue
1,2026-01-08 07:36:00,50,6,2,466.52,933.04
2,2026-04-26 15:07:00,80,3,3,456.63,1369.89
3,2026-04-03 17:15:00,17,4,5,104.79,523.95
4,2026-01-17 12:36:00,80,13,9,405.65,3650.85
5,2026-05-08 23:38:00,84,7,6,36.74,220.44
6,2026-02-09 11:58:00,79,5,6,61.49,368.94
7,2026-01-10 05:21:00,29,15,6,168.48,1010.88
8,2026-01-27 15:42:00,32,2,10,19.65,196.50
9,2026-05-07 11:41:00,67,1,2,176.77,353.54
10,2026-05-25 15:42:00,6,7,4,36.74,146.96
11,2026-05-11 23:54:00,59,11,4,282.45,1129.80
12,2026-01-11 09:47:00,6,20,10,193.37,1933.70
13,2026-05-31 01:17:00,72,15,6,168.48,1010.88
14,2026-01-18 23:12:00,87,5,2,61.49,122.98
15,2026-04-20 10:17:00,58,16,1,453.32,453.32
16,2026-03-12 16:01:00,68,4,5,104.79,523.95
17,2026-01-27 01:06:00,71,18,7,238.49,1669.43
18,2026-05-14 02:29:00,8,7,7,36.74,257.18
19,2026-02-28 09:48:00,83,13,1,405.65,405.65
20,2026-05-17 02:30:00,2,12,8,182.51,1460.08
21,2026-01-07 22:38:00,66,10,3,64.30,192.90
22,2026-01-10 11:58:00,35,8,1,106.14,106.14
23,2026-05-06 05:04:00,43,1,8,176.77,1414.16
24,2026-05-25 04:01:00,64,11,8,282.45,2259.60
25,2026-05-04 07:33:00,17,7,2,36.74,73.48
26,2026-03-13 02:16:00,50,13,9,405.65,3650.85
27,2026-03-22 23:47:00,13,7,7,36.74,257.18
28,2026-04-22 19:59:00,48,20,8,193.37,1546.96
29,2026-01-14 07:20:00,1,18,8,238.49,1907.92
30,2026-05-03 05:16:00,64,14,6,223.75,1342.50
31,2026-05-21 01:53:00,51,8,7,106.14,742.98
32,2026-03-12 11:11:00,4,16,7,453.32,3173.24
33,2026-05-24 04:21:00,48,4,3,104.79,314.37
34,2026-05-22 22:44:00,52,14,9,223.75,2013.75
35,2026-04-27 22:02:00,68,4,4,104.79,419.16
36,2026-04-16 19:39:00,12,4,9,104.79,943.11
37,2026-04-29 09:53:00,18,19,9,218.91,1970.19
38,2026-01-18 09:09:00,88,10,1,64.30,64.30
39,2026-05-17 07:17:00,27,8,6,106.14,636.84
40,2026-02-13 03:07:00,27,8,9,106.14,955.26
41,2026-05-04 10:44:00,7,20,1,193.37,193.37
42,2026-02-07 02:19:00,74,1,2,176.77,353.54
43,2026-05-16 19:54:00,63,16,8,453.32,3626.56
44,2026-01-02 23:54:00,53,2,10,19.65,196.50
45,2026-04-24 02:08:00,39,5,8,61.49,491.92
46,2026-03-11 02:05:00,56,17,4,145.55,582.20
47,2026-01-31 06:52:00,63,11,1,282.45,282.45
48,2026-05-20 23:42:00,78,4,4,104.79,419.16
49,2026-02-06 16:24:00,89,1,4,176.77,707.08
50,2026-04-14 11:19:00,83,16,8,453.32,3626.56
51,2026-04-01 13:33:00,48,3,9,456.63,4109.67
52,2026-02-20 06:59:00,12,14,1,223.75,223.75
53,2026-04-27 05:12:00,18,17,1,145.55,145.55
54,2026-01-20 08:43:00,5,1,1,176.77,176.77
55,2026-05-28 16:59:00,54,1,2,176.77,353.54
56,2026-03-29 11:34:00,8,13,6,405.65,2433.90
57,2026-02-25 22:46:00,62,15,10,168.48,1684.80
58,2026-03-12 11:26:00,10,19,1,218.91,218.91
59,2026-05-09 01:52:00,66,13,2,405.65,811.30
60,2026-03-24 08:07:00,83,12,10,182.51,1825.10
61,2026-05-14 11:49:00,16,18,5,238.49,1192.45
62,2026-04-11 21:42:00,2,6,6,466.52,2799.12
63,2026-01-04 23:08:00,77,10,2,64.30,128.60
64,2026-04-16 00:28:00,27,18,10,238.49,2384.90
65,2026-05-05 05:04:00,49,3,10,456.63,4566.30
66,2026-05-11 11:30:00,34,3,9,456.63,4109.67
67,2026-04-13 22:05:00,8,15,10,168.48,1684.80
68,2026-02-25 01:42:00,42,4,2,104.79,209.58
69,2026-01-23 04:46:00,76,11,5,282.45,1412.25
70,2026-03-23 11:33:00,8,15,6,168.48,1010.88
71,2026-03-20 23:27:00,60,5,2,61.49,122.98
72,2026-01-10 08:30:00,87,17,9,145.55,1309.95
73,2026-04-25 10:45:00,56,12,7,182.51,1277.57
74,2026-05-14 19:22:00,40,15,7,168.48,1179.36
75,2026-01-20 17:33:00,15,3,9,456.63,4109.67
76,2026-04-07 22:38:00,17,12,1,182.51,182.51
77,2026-03-13 22:44:00,66,7,4,36.74,146.96
78,2026-02-20 23:14:00,85,15,9,168.48,1516.32
79,2026-04-14 22:42:00,30,4,5,104.79,523.95
80,2026-02-06 20:49:00,35,10,1,64.30,64.30
81,2026-05-04 01:19:00,47,17,2,145.55,291.10
82,2026-01-28 09:16:00,84,18,1,238.49,238.49
83,2026-02-14 18:39:00,68,13,9,405.65,3650.85
84,2026-01-09 14:36:00,79,20,3,193.37,580.11
85,2026-01-17 10:19:00,56,19,5,218.91,1094.55
86,2026-01-01 16:34:00,9,1,3,176.77,530.31
87,2026-01-13 11:20:00,4,3,8,456.63,3653.04
88,2026-03-10 08:11:00,84,7,8,36.74,293.92
89,2026-04-06 14:44:00,36,3,5,456.63,2283.15
90,2026-04-06 00:27:00,21,16,2,453.32,906.64
91,2026-01-18 07:08:00,60,9,6,412.67,2476.02
92,2026-03-21 22:17:00,24,8,9,106.14,955.26
93,2026-02-15 23:58:00,12,20,7,193.37,1353.59
94,2026-04-01 09:33:00,40,11,8,282.45,2259.60
95,2026-03-12 07:54:00,40,4,4,104.79,419.16
96,2026-05-04 11:45:00,83,3,3,456.63,1369.89
97,2026-03-16 09:42:00,6,4,1,104.79,104.79
98,2026-03-19 11:20:00,26,3,1,456.63,456.63
99,2026-05-04 07:04:00,41,11,3,282.45,847.35
100,2026-01-31 19:04:00,53,1,7,176.77,1237.39
101,2026-03-28 12:58:00,4,11,9,282.45,2542.05
102,2026-03-12 14:56:00,59,4,6,104.79,628.74
103,2026-01-27 13:46:00,31,12,6,182.51,1095.06
104,2026-02-28 13:30:00,72,5,1,61.49,61.49
105,2026-03-13 18:20:00,34,9,8,412.67,3301.36
106,2026-05-24 23:00:00,50,19,6,218.91,1313.46
107,2026-01-27 05:10:00,48,12,7,182.51,1277.57
108,2026-05-17 02:11:00,38,13,9,405.65,3650.85
109,2026-04-23 15:20:00,62,10,4,64.30,257.20
110,2026-04-02 18:47:00,10,18,1,238.49,238.49
111,2026-05-27 11:28:00,70,20,3,193.37,580.11
112,2026-03-24 05:47:00,83,1,6,176.77,1060.62
113,2026-01-12 10:47:00,26,18,4,238.49,953.96
114,2026-05-20 16:42:00,2,13,1,405.65,405.65
115,2026-03-02 09:31:00,26,17,6,145.55,873.30
116,2026-05-02 09:14:00,1,18,3,238.49,715.47
117,2026-05-13 06:28:00,21,3,1,456.63,456.63
118,2026-03-24 06:02:00,12,8,8,106.14,849.12
119,2026-04-16 11:37:00,47,4,5,104.79,523.95
120,2026-05-06 22:13:00,13,16,3,453.32,1359.96
121,2026-05-26 05:20:00,15,17,9,145.55,1309.95
122,2026-05-04 16:17:00,53,12,8,182.51,1460.08
123,2026-03-02 17:43:00,25,12,3,182.51,547.53
124,2026-02-21 02:55:00,35,16,7,453.32,3173.24
125,2026-01-28 16:15:00,1,8,6,106.14,636.84
126,2026-01-29 22:54:00,83,2,9,19.65,176.85
127,2026-01-16 18:10:00,45,2,5,19.65,98.25
128,2026-02-02 08:24:00,85,10,5,64.30,321.50
129,2026-04-11 22:01:00,66,4,3,104.79,314.37
130,2026-03-29 08:59:00,87,4,6,104.79,628.74
131,2026-01-11 16:27:00,11,8,8,106.14,849.12
132,2026-01-06 12:40:00,33,12,1,182.51,182.51
133,2026-04-01 08:30:00,66,5,5,61.49,307.45
134,2026-02-09 19:58:00,32,19,3,218.91,656.73
135,2026-04-27 07:55:00,48,6,5,466.52,2332.60
136,2026-01-25 10:11:00,61,2,9,19.65,176.85
137,2026-03-29 01:14:00,84,18,9,238.49,2146.41
138,2026-01-05 18:37:00,8,18,3,238.49,715.47
139,2026-01-07 17:25:00,47,6,6,466.52,2799.12
140,2026-03-04 19:16:00,51,6,6,466.52,2799.12
141,2026-05-05 23:55:00,4,10,4,64.30,257.20
142,2026-03-01 19:07:00,48,10,8,64.30,514.40
143,2026-04-06 14:10:00,84,20,2,193.37,386.74
144,2026-05-15 05:18:00,15,19,4,218.91,875.64
145,2026-03-26 09:27:00,86,16,5,453.32,2266.60
146,2026-05-29 02:37:00,26,14,7,223.75,1566.25
147,2026-05-22 00:52:00,78,1,10,176.77,1767.70
148,2026-03-01 04:32:00,46,10,1,64.30,64.30
149,2026-04-06 16:46:00,28,7,10,36.74,367.40
150,2026-01-03 05:21:00,51,7,1,36.74,36.74
151,2026-05-26 08:23:00,87,20,7,193.37,1353.59
152,2026-01-30 00:06:00,49,8,9,106.14,955.26
153,2026-04-09 18:01:00,81,14,2,223.75,447.50
154,2026-01-09 04:17:00,51,7,2,36.74,73.48
155,2026-03-12 02:05:00,77,8,7,106.14,742.98
156,2026-03-06 08:51:00,71,7,6,36.74,220.44
157,2026-02-08 17:33:00,26,4,3,104.79,314.37
158,2026-01-08 11:38:00,39,16,10,453.32,4533.20
159,2026-01-14 01:26:00,31,14,2,223.75,447.50
160,2026-01-13 05:26:00,30,5,9,61.49,553.41
161,2026-05-26 05:17:00,6,4,7,104.79,733.53
162,2026-03-29 00:56:00,54,2,10,19.65,196.50
163,2026-05-02 11:33:00,79,11,10,282.45,2824.50
164,2026-01-24 13:50:00,58,13,9,405.65,3650.85
165,2026-03-12 07:34:00,10,17,1,145.55,145.55
166,2026-03-03 22:23:00,88,9,7,412.67,2888.69
167,2026-01-03 16:00:00,12,18,6,238.49,1430.94
168,2026-03-06 01:49:00,87,18,6,238.49,1430.94
169,2026-02-20 23:58:00,50,13,7,405.65,2839.55
170,2026-01-24 16:53:00,64,5,4,61.49,245.96
171,2026-02-24 23:37:00,67,16,3,453.32,1359.96
172,2026-02-24 17:04:00,59,18,4,238.49,953.96
173,2026-03-10 15:49:00,50,6,7,466.52,3265.64
174,2026-04-10 09:21:00,65,17,1,145.55,145.55
175,2026-02-14 02:11:00,9,11,9,282.45,2542.05
176,2026-04-15 14:23:00,19,4,6,104.79,628.74
177,2026-03-12 03:40:00,85,6,5,466.52,2332.60
178,2026-05-03 19:20:00,50,6,8,466.52,3732.16
179,2026-01-22 20:49:00,31,13,8,405.65,3245.20
180,2026-01-25 13:46:00,54,18,4,238.49,953.96
181,2026-05-10 05:51:00,2,16,1,453.32,453.32
182,2026-01-21 12:08:00,34,16,7,453.32,3173.24
183,2026-04-15 19:28:00,35,4,6,104.79,628.74
184,2026-01-03 14:31:00,2,14,8,223.75,1790.00
185,2026-04-02 02:44:00,16,12,2,182.51,365.02
186,2026-04-07 01:36:00,6,19,5,218.91,1094.55
187,2026-05-03 23:32:00,73,20,8,193.37,1546.96
188,2026-03-04 20:27:00,36,17,10,145.55,1455.50
189,2026-05-21 17:56:00,9,6,8,466.52,3732.16
190,2026-04-10 12:06:00,6,7,8,36.74,293.92
191,2026-01-27 03:39:00,56,3,5,456.63,2283.15
192,2026-03-31 21:35:00,25,8,9,106.14,955.26
193,2026-01-31 14:24:00,17,6,8,466.52,3732.16
194,2026-03-15 17:34:00,46,4,2,104.79,209.58
195,2026-04-05 17:51:00,48,5,6,61.49,368.94
196,2026-01-16 22:00:00,68,12,1,182.51,182.51
197,2026-03-23 23:18:00,66,17,6,145.55,873.30
198,2026-03-14 06:31:00,46,18,3,238.49,715.47
199,2026-02-09 13:04:00,83,16,1,453.32,453.32
200,2026-01-29 08:46:00,54,14,3,223.75,671.25
201,2026-04-22 15:42:00,15,9,2,412.67,825.34
202,2026-03-14 21:39:00,27,15,2,168.48,336.96
203,2026-01-19 12:46:00,15,11,2,282.45,564.90
204,2026-04-24 19:53:00,44,11,1,282.45,282.45
205,2026-03-17 21:03:00,67,16,7,453.32,3173.24
206,2026-02-12 08:43:00,6,10,10,64.30,643.00
207,2026-04-03 07:37:00,26,3,6,456.63,2739.78
208,2026-04-30 04:07:00,9,12,10,182.51,1825.10
209,2026-04-21 18:51:00,36,2,4,19.65,78.60
210,2026-05-01 06:50:00,90,10,3,64.30,192.90
211,2026-05-21 22:23:00,66,5,6,61.49,368.94
212,2026-04-04 17:25:00,79,12,6,182.51,1095.06
213,2026-02-13 19:23:00,37,14,10,223.75,2237.50
214,2026-01-10 22:03:00,42,6,8,466.52,3732.16
215,2026-02-06 20:12:00,87,1,2,176.77,353.54
216,2026-01-30 03:14:00,43,5,1,61.49,61.49
217,2026-05-04 05:09:00,29,7,5,36.74,183.70
218,2026-01-19 15:14:00,33,13,8,405.65,3245.20
219,2026-02-17 03:20:00,32,4,6,104.79,628.74
220,2026-01-30 00:44:00,62,9,9,412.67,3714.03
221,2026-03-04 04:54:00,20,12,8,182.51,1460.08
222,2026-02-15 19:40:00,86,9,9,412.67,3714.03
223,2026-04-06 12:47:00,62,16,4,453.32,1813.28
224,2026-03-31 16:55:00,69,12,5,182.51,912.55
225,2026-03-10 01:06:00,38,7,10,36.74,367.40
226,2026-02-04 12:53:00,72,7,4,36.74,146.96
227,2026-02-22 21:09:00,45,6,6,466.52,2799.12
228,2026-05-25 17:00:00,6,9,6,412.67,2476.02
229,2026-04-06 04:27:00,49,3,8,456.63,3653.04
230,2026-01-13 16:16:00,71,12,3,182.51,547.53
231,2026-05-25 15:23:00,22,9,10,412.67,4126.70
232,2026-01-08 12:41:00,65,10,1,64.30,64.30
233,2026-04-19 16:22:00,6,11,4,282.45,1129.80
234,2026-03-28 10:17:00,59,15,6,168.48,1010.88
235,2026-04-02 11:34:00,48,11,3,282.45,847.35
236,2026-04-24 03:24:00,79,12,9,182.51,1642.59
237,2026-03-19 21:45:00,75,7,5,36.74,183.70
238,2026-04-24 00:14:00,19,12,10,182.51,1825.10
239,2026-01-03 17:21:00,19,15,6,168.48,1010.88
240,2026-01-29 15:17:00,89,1,1,176.77,176.77
241,2026-03-07 15:00:00,15,11,6,282.45,1694.70
242,2026-03-08 16:34:00,29,8,4,106.14,424.56
