order_item_id,order_id,product_id,quantity
1,50,15,1
2,4,9,5
3,54,1,3
4,52,10,4
5,6,5,4
6,93,1,1
7,40,2,5
8,115,13,4
9,23,13,1
10,48,2,2
11,65,11,2
12,122,10,4
13,96,19,1
14,15,13,4
15,92,15,5
16,79,3,5
17,58,1,4
18,93,6,3
19,118,16,3
20,58,18,4
21,68,20,3
22,144,6,5
23,138,7,5
24,112,1,2
25,86,15,1
26,47,8,4
27,13,15,2
28,36,17,1
29,100,8,2
30,127,20,5
31,134,5,5
32,141,1,4
33,144,9,1
34,3,19,2
35,141,2,5
36,92,6,2
37,52,7,4
38,53,7,3
39,35,5,1
40,1,3,4
41,142,4,5
42,121,20,3
43,41,2,2
44,90,20,5
45,84,13,1
46,120,18,1
47,119,13,3
48,78,11,2
49,107,7,5
50,128,10,2
51,54,5,2
52,40,12,1
53,71,20,2
54,96,4,2
55,60,2,2
56,134,17,2
57,45,17,2
58,57,7,2
59,93,20,2
60,9,12,4
61,127,12,1
62,107,9,1
63,14,19,4
64,26,14,1
65,120,1,3
66,144,8,4
67,49,2,2
68,86,11,5
69,110,1,4
70,45,15,2
71,135,7,3
72,13,7,4
73,59,2,2
74,64,5,2
75,104,2,1
76,106,6,1
77,149,12,2
78,24,16,3
79,78,4,5
80,101,12,5
81,36,12,5
82,1,16,5
83,116,14,5
84,3,19,1
85,49,11,3
86,35,13,5
87,33,2,5
88,117,16,4
89,126,8,3
90,72,19,1
91,8,2,1
92,107,16,4
93,87,3,2
94,3,7,1
95,57,3,2
96,84,4,3
97,100,20,2
98,127,16,5
99,63,14,3
100,52,16,5
101,84,11,1
102,28,5,5
103,65,3,1
104,63,17,5
105,30,14,5
106,11,12,3
107,133,11,5
108,21,6,4
109,148,12,2
110,40,16,3
111,136,15,3
112,74,7,3
113,12,9,2
114,30,11,2
115,135,10,2
116,132,12,5
117,88,12,1
118,145,6,5
119,23,20,4
120,30,7,4
121,91,8,1
122,21,4,1
123,14,14,3
124,99,14,1
125,138,15,1
126,149,18,5
127,90,13,2
128,95,15,3
129,142,12,4
130,108,19,3
131,37,18,3
132,102,15,4
133,6,7,4
134,145,20,2
135,133,6,4
136,127,19,3
137,21,12,3
138,134,11,1
139,71,14,1
140,39,10,3
141,142,13,2
142,7,13,1
143,56,5,3
144,6,7,3
145,15,15,4
146,49,4,4
147,87,3,2
148,11,15,3
149,92,9,2
150,78,9,3
151,19,8,3
152,40,5,3
153,44,18,4
154,51,15,4
155,64,9,2
156,56,16,3
157,76,1,3
158,37,8,5
159,43,18,2
160,8,18,2
161,83,20,4
162,18,8,5
163,52,8,5
164,18,19,2
165,121,16,1
166,119,15,4
167,134,19,1
168,94,14,2
169,1,18,5
170,27,5,3
171,96,3,4
172,68,3,5
173,107,19,1
174,125,6,2
175,39,20,1
176,3,2,5
177,74,13,3
178,4,2,3
179,134,18,1
180,5,20,4
181,134,9,3
182,109,20,3
183,38,8,4
184,84,8,2
185,93,8,5
186,109,4,2
187,94,14,1
188,52,14,4
189,93,7,3
190,8,17,4
191,68,12,2
192,44,18,2
193,35,13,4
194,27,10,1
195,127,16,3
196,102,14,1
197,99,14,4
198,114,12,5
199,67,11,2
200,134,15,3
201,73,7,3
202,33,8,1
203,3,14,5
204,115,12,5
205,41,18,5
206,49,8,5
207,127,14,1
208,12,14,1
209,83,13,5
210,133,4,5
211,86,5,5
212,3,9,3
213,144,6,2
214,145,6,3
215,76,7,5
216,148,11,3
217,45,17,3
218,35,19,4
219,6,5,5
220,13,20,2
221,6,13,5
222,125,20,2
223,48,3,5
224,87,2,2
225,59,19,2
226,23,9,2
227,135,18,1
228,82,17,2
229,34,18,3
230,89,2,3
231,54,11,5
232,57,3,4
233,145,2,1
234,13,8,4
235,127,16,3
236,54,15,5
237,105,10,3
238,89,10,2
239,89,2,5
240,141,1,2
241,148,15,4
242,7,10,5
243,20,19,3
244,146,13,3
245,110,9,4
246,28,8,2
247,89,1,4
248,41,9,2
249,59,18,1
250,139,1,5
251,31,18,2
252,133,8,5
253,18,18,1
254,60,5,3
255,105,13,2
256,129,5,3
257,37,19,4
258,21,9,3
259,39,13,4
260,11,4,5
261,118,1,4
262,8,7,5
263,143,19,5
264,22,8,3
265,23,8,5
266,80,4,2
267,119,8,2
268,107,13,1
269,68,9,2
270,87,19,5
271,111,11,2
272,2,2,4
273,114,18,3
274,102,20,5
275,141,8,1
276,96,18,3
277,79,8,5
278,77,5,1
279,48,19,3
280,92,20,3
281,96,14,1
282,127,9,2
283,46,17,4
284,84,12,1
285,138,13,5
286,35,9,5
287,111,3,1
288,58,19,1
289,79,19,5
290,81,9,1
291,150,9,2
292,90,6,4
293,127,5,1
294,118,3,2
295,48,18,3
296,9,13,3
297,67,8,3
298,85,1,3
299,150,11,3
300,41,1,3
