product_id,name,category,price
1,Home Item 1,Home,176.77
2,Clothing Item 2,Clothing,19.65
3,Electronics Item 3,Electronics,456.63
4,Clothing Item 4,Clothing,104.79
5,Books Item 5,Books,61.49
6,Books Item 6,Books,466.52
7,Home Item 7,Home,36.74
8,Sports Item 8,Sports,106.14
9,Books Item 9,Books,412.67
10,Home Item 10,Home,64.3
11,Electronics Item 11,Electronics,282.45
12,Sports Item 12,Sports,182.51
13,Books Item 13,Books,405.65
14,Sports Item 14,Sports,223.75
15,Sports Item 15,Sports,168.48
16,Sports Item 16,Sports,453.32
17,Electronics Item 17,Electronics,145.55
18,Electronics Item 18,Electronics,238.49
19,Home Item 19,Home,218.91
20,Books Item 20,Books,193.37
